UTILITY,LOAD_ZONE,ESCO,OFFER_ID,COMMODITY,OFFER_TYPE,IS_ACTIVE,RATE,RENEWABLE_ENERGY_OFFER,MINIMUM_TERM,IS_CANCELLATION_FEE,CANCELLATION_FEE,CREATED_DATE,UPDATED_DATE,COMMENTS,IS_GUARANTEED_SAVING,PERCENTAGE_RENEWABLE,ENERGY_SOURCE,IS_EDPCOMPLIANT,VALUE_ADDED
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Kiwi Energy NY, LLC.","351845","ELECTRIC","Variable","Yes",".2099 kWh","No","36 Month(s)","No","null","02/20/2022 08:52:04 AM","null","Kiwi Guard - Home Protect is a month-to-month variable rate product for 36 months, with no cancellation fees, and no guaranteed savings. Includes HVAC coverage up to $750 per year (deductible due at time of service) + Surge Protection of up to $500 per year. See Terms &amp; Conditions for more details.","NO","0","null","YES","YES",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Kiwi Energy NY, LLC.","351857","ELECTRIC","Variable","Yes",".2099 kWh","No","36 Month(s)","No","null","02/20/2022 08:53:13 AM","null","Kiwi Guard is a month-to-month variable rate product for 36 months, with no cancellation fees, and no guaranteed savings. Includes HVAC coverage up to $750 per year (deductible due at time of service). See Terms &amp; Conditions for more details.","NO","0","null","YES","YES",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Kiwi Energy NY, LLC.","351875","ELECTRIC","Variable","Yes",".2099 kWh","Yes","36 Month(s)","No","null","02/20/2022 08:55:57 AM","null","Kiwi Green 50 is a monthly variable rate product for 36 months. No cancellation fees. No guaranteed savings. Usage matched with renewable attributes that are at least 50% greater than what is required of Kiwi to meet its renewable purchase obligations. Rate varies monthly based on numerous factors.","NO","0.5","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Kiwi Energy NY, LLC.","351893","ELECTRIC","Variable","Yes",".2099 kWh","Yes","36 Month(s)","No","null","02/20/2022 08:59:42 AM","null","Kiwi Green 100 is a monthly variable rate product for 36 months. No cancellation fees. No guaranteed savings. Usage matched with renewable attributes that are at least 100% greater than what is required of Kiwi to meet its renewable purchase obligations. Rate varies monthly based on numerous factors","NO","1","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Major Energy Electric Services, LLC","352606","ELECTRIC","Fixed","Yes",".1139 kWh","Yes","12 Month(s)","No","null","03/07/2022 05:22:13 PM","null","New York Green 12","NO","1","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Major Energy Electric Services, LLC","352607","ELECTRIC","Fixed","Yes",".1109 kWh","Yes","24 Month(s)","No","null","03/07/2022 05:22:34 PM","null","New York Green 24","NO","1","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Major Energy Electric Services, LLC","352608","ELECTRIC","Fixed","Yes",".1099 kWh","Yes","36 Month(s)","No","null","03/07/2022 05:22:48 PM","null","New York Green 36","NO","1","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","NRG Home, NRG Business and NRG Retail Solutions","352784","ELECTRIC","Variable","Yes",".11 kWh","Yes","1 Month(s)","No","null","03/09/2022 12:04:19 PM","null","Our NY Renewable Electricity Plan provides 50% NY Green. Visit www.picknrg.com
","NO","0.5","Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","New York Gas & Electric","351988","ELECTRIC","Variable","Yes",".0999 kWh","No","0 Month(s)","No","null","03/01/2022 01:49:40 AM","null","Power Flex Home Protect lets you stay flexible with a monthly electricity rate and rest easy with an included service plan - which covers the repair and/or replacement of covered parts of your HVAC and your home&#39;s internal electrical lines.","NO","0","null","YES","YES",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","New York Gas & Electric","351989","ELECTRIC","Fixed","Yes",".0749 kWh","No","24 Month(s)","Yes","200","03/01/2022 01:50:09 AM","null","Get a price-protected rate for the next 24 months from a trusted energy supplier.","NO","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","New York Gas & Electric","351990","ELECTRIC","Fixed","Yes",".0749 kWh","No","36 Month(s)","Yes","200","03/01/2022 01:50:36 AM","null","Get a price-protected rate for the next 36 months from a trusted energy supplier.","NO","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Nordic Energy Services, LLC","351957","ELECTRIC","Variable","Yes",".08999 kWh","Yes","1 Month(s)","No","null","02/28/2022 08:43:37 AM","null","Promotional price of 0.08999 will be the same for 3 months ","NO","1","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","352978","ELECTRIC","Fixed","Yes",".1291 kWh","Yes","12 Month(s)","No","null","03/15/2022 08:41:48 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","352979","ELECTRIC","Fixed","Yes",".1184 kWh","Yes","18 Month(s)","No","null","03/15/2022 08:42:01 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","352980","ELECTRIC","Fixed","Yes",".1225 kWh","Yes","24 Month(s)","No","null","03/15/2022 08:42:12 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","352981","ELECTRIC","Fixed","Yes",".1177 kWh","Yes","30 Month(s)","No","null","03/15/2022 08:42:26 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","353020","ELECTRIC","Fixed","Yes",".1226 kWh","Yes","12 Month(s)","No","null","03/15/2022 08:52:15 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","353021","ELECTRIC","Fixed","Yes",".1119 kWh","Yes","18 Month(s)","No","null","03/15/2022 08:52:27 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","353022","ELECTRIC","Fixed","Yes",".116 kWh","Yes","24 Month(s)","No","null","03/15/2022 08:52:41 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","353023","ELECTRIC","Fixed","Yes",".1112 kWh","Yes","30 Month(s)","No","null","03/15/2022 08:52:53 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Public Power, LLC","351982","ELECTRIC","Fixed","Yes",".0749 kWh","No","24 Month(s)","Yes","100","03/01/2022 01:43:20 AM","null","With a fixed rate from Public Power, you&#39;ll get the peace of mind knowing your rate is fixed for 24 months.","NO","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Public Power, LLC","351983","ELECTRIC","Fixed","Yes",".0749 kWh","No","36 Month(s)","Yes","150","03/01/2022 01:43:50 AM","null","With a fixed rate from Public Power, you&#39;ll get the peace of mind knowing your rate is fixed for 36 months.","NO","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pure Energy","352174","ELECTRIC","Variable","Yes",".28999 kWh","Yes","1 Month(s)","No","null","03/01/2022 05:14:02 PM","null","Pure Energy USA, LLC offers 100% Renewable Energy.","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Residents Energy, LLC","352455","ELECTRIC","Variable","Yes",".115 kWh","Yes","1 Month(s)","No","null","03/04/2022 10:58:17 AM","null","Lock in this price for your first month of service. RES Premium Renewable Energy Product, is a 100% renewably sourced product. RES may satisfy its renewability commitments by purchasing and retiring Renewable Energy Credits or &quot;RECs&quot; to match your electricity usage. Go to www.residentsenergy.com.","NO","1","Hydroelectric","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Verde Energy USA New York LLC","352609","ELECTRIC","Fixed","Yes",".1189 kWh","Yes","12 Month(s)","No","null","03/08/2022 08:34:23 AM","null","New York Green 12","NO","1","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Verde Energy USA New York LLC","352610","ELECTRIC","Fixed","Yes",".1159 kWh","Yes","24 Month(s)","No","null","03/08/2022 08:35:18 AM","null","New York Green 24","NO","1","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Verde Energy USA New York LLC","352611","ELECTRIC","Fixed","Yes",".1149 kWh","Yes","36 Month(s)","No","null","03/08/2022 08:38:27 AM","null","New York Green 36","NO","1","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","XOOM Energy New York, LLC","352067","ELECTRIC","Variable","Yes",".1369 kWh","Yes","1 Month(s)","No","null","03/01/2022 12:40:49 PM","null","This product contains at least 50% renewable energy from sources eligible under New York law, specifically in-state wind and/or in-state hydropower (unless specified differently in your Welcome Confirmation and subject to market availability).","NO","0.5","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","XOOM Energy New York, LLC","352068","ELECTRIC","Fixed","Yes",".1149 kWh","Yes","24 Month(s)","No","null","03/01/2022 12:41:10 PM","null","This product contains at least 50% renewable energy from sources eligible under New York law, specifically in-state wind and/or in-state hydropower (unless specified differently in your Welcome Confirmation and subject to market availability).","NO","0.5","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","American Power & Gas, LLC","351959","ELECTRIC","Variable","Yes",".1499 kWh","Yes","48 Month(s)","No","null","02/28/2022 09:38:39 AM","null","Introductory rate with a variable rate thereafter plus 25% Guaranteed Rebate on average monthly supply charges after 12 months.","NO","0.5","Fuel Cells,Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","Clean Choice Energy, Inc.","352052","ELECTRIC","Fixed","Yes",".116 kWh","Yes","24 Month(s)","No","null","03/01/2022 11:47:43 AM","null","Choose 100% clean, pollution-free wind &amp; solar with CleanChoice Energy today. Sign up online at mycleanchoice.com/ny24 or call 1-800-260-0184.","NO","1","Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","Marathon Energy","352819","ELECTRIC","Fixed","Yes",".0959 kWh","Yes","6 Month(s)","Yes","CALCULATED UPON CANCELLATION","03/11/2022 12:16:11 PM","null","$0.0959 Is FIXED RATE FOR MARCH 2022. TERMINATION FEES APPLY. CALL 1-888-779-7255.","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","Marathon Energy","352820","ELECTRIC","Fixed","Yes",".0979 kWh","Yes","12 Month(s)","Yes","CALCULATED UPON CANCELLATION
","03/11/2022 12:21:40 PM","null","$0.0979 Is FIXED RATE FOR MARCH 2022. TERMINATION FEES APPLY. CALL 1-888-779-7255.","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","Marathon Energy","352821","ELECTRIC","Fixed","Yes",".0929 kWh","Yes","24 Month(s)","Yes","CALCULATED UPON CANCELLATION","03/11/2022 12:25:17 PM","null","$0.0929 Is FIXED RATE FOR MARCH 2022. TERMINATION FEES APPLY. CALL 1-888-779-7255.","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","Smart Energy Holdings, LLC","352168","ELECTRIC","Fixed","Yes",".098 kWh","Yes","36 Month(s)","No","null","03/01/2022 02:50:05 PM","null","null","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","Source Power Company","352937","ELECTRIC","Variable","Yes",".0999 kWh","No","1 Month(s)","No","null","03/15/2022 10:06:36 AM","null","null","YES","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","American Power & Gas, LLC","351962","ELECTRIC","Variable","Yes",".1499 kWh","Yes","48 Month(s)","No","null","02/28/2022 09:43:38 AM","null","Introductory rate with a variable rate thereafter plus 25% Guaranteed Rebate on average monthly supply charges after 12 months.","NO","0.5","Fuel Cells,Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","Clean Choice Energy, Inc.","352054","ELECTRIC","Fixed","Yes",".139 kWh","Yes","24 Month(s)","No","null","03/01/2022 11:48:19 AM","null","Choose 100% clean, pollution-free wind &amp; solar with CleanChoice Energy today. Sign up online at mycleanchoice.com/ny24 or call 1-800-260-0184.","NO","1","Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","Marathon Energy","352822","ELECTRIC","Fixed","Yes",".1109 kWh","Yes","6 Month(s)","Yes","CALCULATED UPON CANCELLATION","03/11/2022 12:25:58 PM","null","$0.1109 Is FIXED RATE FOR MARCH 2022. TERMINATION FEES APPLY. CALL 1-888-779-7255.
","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","Marathon Energy","352823","ELECTRIC","Fixed","Yes",".1329 kWh","Yes","12 Month(s)","Yes","CALCULATED UPON CANCELLATION
","03/11/2022 12:26:23 PM","null","$0.1329 Is FIXED RATE FOR MARCH 2022. TERMINATION FEES APPLY. CALL 1-888-779-7255.
","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","Marathon Energy","352824","ELECTRIC","Fixed","Yes",".1299 kWh","Yes","24 Month(s)","Yes","CALCULATED UPON CANCELLATION","03/11/2022 12:26:51 PM","null","$0.1299 Is FIXED RATE FOR MARCH 2022. TERMINATION FEES APPLY. CALL 1-888-779-7255.
","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","Smart Energy Holdings, LLC","352167","ELECTRIC","Fixed","Yes",".14 kWh","Yes","36 Month(s)","No","null","03/01/2022 02:49:19 PM","null","null","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","Source Power Company","352935","ELECTRIC","Variable","Yes",".0999 kWh","No","1 Month(s)","No","null","03/15/2022 10:06:14 AM","null","null","YES","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","CONED in NYC","Consolidated Edison Company of New York, Inc.","351978","GAS","Variable","Yes",".6699 therm","No","0 ","No","null","02/28/2022 07:07:56 PM","null","Variable gas price is based on the residential heating rate average for New York City.","NO","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","CONED in NYC","Kiwi Energy NY, LLC.","351801","GAS","Variable","Yes","1.29 therm","No","36 Month(s)","No","null","02/20/2022 08:43:44 AM","null","Kiwi Guard is a month-to-month variable rate product for 36 months, with no cancellation fees, and no guaranteed savings. Includes HVAC coverage up to $750 per year (deductible due at time of service). See Terms &amp; Conditions for more details.","NO","0","null","YES","YES",
"Consolidated Edison Company of New York, Inc.","CONED in NYC","Mpower Energy, LLC","351382","GAS","Variable","Yes",".67 therm","No","12 Month(s)","No","null","02/11/2022 01:50:26 PM","null","For commercial pricing please contact PriceRequests@MPowerEnergy.com or call 877-286-7693 ","NO","0","null","YES","YES",
"Consolidated Edison Company of New York, Inc.","CONED in Westchester","Consolidated Edison Company of New York, Inc.","351977","GAS","Variable","Yes",".6631 therm","No","0 ","No","null","02/28/2022 07:07:38 PM","null","Variable gas price is based on the residential heating rate average for Westchester.","NO","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","CONED in Westchester","Mpower Energy, LLC","351463","GAS","Variable","Yes",".67 therm","No","12 Month(s)","No","null","02/14/2022 03:10:52 PM","null","For commercial pricing please contact PriceRequests@MPowerEnergy.com or call 877-286-7693 ","NO","0","null","YES","YES",
"Consolidated Edison Company of New York, Inc.","CONED in Westchester","Robison Energy, LLC","346304","GAS","Fixed","Yes",".6999 therm","No","36 Month(s)","No","null","11/02/2021 05:15:16 PM","null","Westchester County customers only. Robison offers fuel oil, Gas/Oil service Heating systems, A/C service and installation, plumbing service, Home Energy Ratings and Assessments. Free gas heating system tune up and service agreement.
914-345-5700
","NO","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","CONED in Westchester","Robison Energy, LLC","346306","GAS","Fixed","Yes",".7599 therm","No","24 Month(s)","No","null","11/02/2021 05:15:57 PM","null","Westchester County customers only. Robison offers fuel oil, Gas/Oil service Heating systems, A/C service and installation, plumbing service, Home Energy Ratings and Assessments. Free gas heating system tune up and service agreement.
914-345-5700
","NO","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","CONED in Westchester","Robison Energy, LLC","346310","GAS","Fixed","Yes",".7999 therm","No","12 Month(s)","No","null","11/02/2021 05:16:16 PM","null","Westchester County customers only. Robison offers fuel oil, Gas/Oil service Heating systems, A/C service and installation, plumbing service, Home Energy Ratings and Assessments. Free gas heating system tune up and service agreement.
914-345-5700
","NO","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","Central Hudson","Agway Energy Services, LLC.","352410","GAS","Variable","Yes","1.039 ccf","No","1 Month(s)","No","null","03/04/2022 10:15:51 AM","null","In order to help you make the most informed decision, this rate is reflective of our current variable rate &amp; includes our EnergyGuard repair program. This valuable coverage is included with our commodity supply &amp; provides Peace of Mind 24/7 repair protection on your primary heat source in your home.","NO","0","null","YES","YES",
"Central Hudson Gas & Electric Corporation","Central Hudson","Alpha Gas and Electric, LLC","351913","GAS","Fixed","Yes",".899 ccf","No","24 Month(s)","No","null","02/22/2022 12:11:52 PM","null","Green-e certified gas, 2 year Price protected fixed rate, includes Home Warranty coverage, Free month of energy supply after a year of service, NO cancellation fees. See terms and conditions for more info and visit https://alphagasandelectric.com/P2C/ to enroll.","NO","0","null","YES","YES",
"Central Hudson Gas & Electric Corporation","Central Hudson","Atlantic Energy, LLC","352088","GAS","Variable","Yes",".699 ccf","No","12 Month(s)","Yes","$100","03/01/2022 01:02:59 PM","null","null","YES","0","null","YES","NO",
