UTILITY,LOAD_ZONE,ESCO,OFFER_ID,COMMODITY,OFFER_TYPE,IS_ACTIVE,RATE,RENEWABLE_ENERGY_OFFER,MINIMUM_TERM,IS_CANCELLATION_FEE,CANCELLATION_FEE,CREATED_DATE,UPDATED_DATE,COMMENTS,IS_GUARANTEED_SAVING,PERCENTAGE_RENEWABLE,ENERGY_SOURCE,IS_EDPCOMPLIANT,VALUE_ADDED
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","Clean Choice Energy, Inc.","353976","ELECTRIC","Fixed","Yes",".118 kWh","Yes","24 Month(s)","No","null","04/01/2022 09:44:24 AM","null","Choose 100% clean, pollution-free wind &amp; solar with CleanChoice Energy today. Sign up online at mycleanchoice.com/ny24 or call 1-800-260-0184.","NO","1","Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","Just Energy","353681","ELECTRIC","Fixed","Yes",".0869 kWh","Yes","24 Month(s)","Yes","$50.00 Cancellation Fee if you called the utility- it will be waived if you called Just Energy","03/29/2022 02:47:10 PM","null","null","NO","1","Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","Just Energy","353684","ELECTRIC","Fixed","Yes",".0849 kWh","Yes","36 Month(s)","Yes","$50.00 Cancellation Fee if you called the utility- it will be waived if you called Just Energy","03/29/2022 02:49:15 PM","null","null","NO","1","Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","Marathon Energy","354521","ELECTRIC","Fixed","Yes",".1169 kWh","Yes","6 Month(s)","Yes","CALCULATED UPON CANCELLATION","04/11/2022 04:10:19 PM","null","$0.1169 Is FIXED RATE FOR APRIL 2022. TERMINATION FEES APPLY. CALL 1-888-779-7255.","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","Marathon Energy","354522","ELECTRIC","Fixed","Yes",".1129 kWh","Yes","12 Month(s)","Yes","CALCULATED UPON CANCELLATION
","04/11/2022 04:10:58 PM","null","$0.1129 Is FIXED RATE FOR APRIL 2022. TERMINATION FEES APPLY. CALL 1-888-779-7255.","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","Marathon Energy","354523","ELECTRIC","Fixed","Yes",".1019 kWh","Yes","24 Month(s)","Yes","CALCULATED UPON CANCELLATION","04/11/2022 04:14:34 PM","null","$0.1019 Is FIXED RATE FOR APRIL 2022. TERMINATION FEES APPLY. CALL 1-888-779-7255.","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","Source Power Company","354836","ELECTRIC","Variable","Yes",".126 kWh","No","1 Month(s)","No","null","04/15/2022 02:15:10 PM","null","null","YES","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","American Power & Gas, LLC","353290","ELECTRIC","Variable","Yes",".109 kWh","Yes","48 Month(s)","No","null","03/21/2022 08:19:15 AM","null","Introductory rate with a variable rate thereafter plus 25% Guaranteed Rebate on average monthly supply charges after 12 months.","NO","0.5","Fuel Cells,Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","Clean Choice Energy, Inc.","353975","ELECTRIC","Fixed","Yes",".145 kWh","Yes","24 Month(s)","No","null","04/01/2022 09:43:23 AM","null","Choose 100% clean, pollution-free wind &amp; solar with CleanChoice Energy today. Sign up online at mycleanchoice.com/ny24 or call 1-800-260-0184.","NO","1","Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","Just Energy","353685","ELECTRIC","Fixed","Yes",".1109 kWh","Yes","24 Month(s)","Yes","$50.00 Cancellation Fee if you called the utility- it will be waived if you called Just Energy","03/29/2022 02:50:00 PM","null","null","NO","1","Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","Just Energy","353686","ELECTRIC","Fixed","Yes",".1099 kWh","Yes","36 Month(s)","Yes","$50.00 Cancellation Fee if you called the utility- it will be waived if you called Just Energy","03/29/2022 02:50:43 PM","null","null","NO","1","Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","Marathon Energy","354524","ELECTRIC","Fixed","Yes",".1339 kWh","Yes","6 Month(s)","Yes","CALCULATED UPON CANCELLATION","04/11/2022 04:15:13 PM","null","$0.1339 Is FIXED RATE FOR APRIL 2022. TERMINATION FEES APPLY. CALL 1-888-779-7255.
","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","Marathon Energy","354525","ELECTRIC","Fixed","Yes",".1459 kWh","Yes","12 Month(s)","Yes","CALCULATED UPON CANCELLATION
","04/11/2022 04:15:35 PM","null","$0.1459 Is FIXED RATE FOR APRIL 2022. TERMINATION FEES APPLY. CALL 1-888-779-7255.
","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","Marathon Energy","354526","ELECTRIC","Fixed","Yes",".1369 kWh","Yes","24 Month(s)","Yes","CALCULATED UPON CANCELLATION","04/11/2022 04:15:54 PM","null","$0.1369 Is FIXED RATE FOR APRIL 2022. TERMINATION FEES APPLY. CALL 1-888-779-7255.
","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","Source Power Company","354838","ELECTRIC","Variable","Yes",".126 kWh","No","1 Month(s)","No","null","04/15/2022 02:15:29 PM","null","null","YES","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","CONED in NYC","Consolidated Edison Company of New York, Inc.","353720","GAS","Variable","Yes",".6892 therm","No","0 ","No","null","03/29/2022 04:26:55 PM","null","Variable gas price is based on the residential heating rate average for New York City.","NO","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","CONED in NYC","Kiwi Energy NY, LLC.","353259","GAS","Variable","Yes",".949 therm","No","36 Month(s)","No","null","03/18/2022 10:46:14 AM","null","Kiwi Guard is a month-to-month variable rate product for 36 months, with no cancellation fees, and no guaranteed savings. Includes HVAC coverage up to $750 per year (deductible due at time of service). See Terms &amp; Conditions for more details.","NO","0","null","YES","YES",
"Consolidated Edison Company of New York, Inc.","CONED in NYC","Mpower Energy, LLC","353748","GAS","Variable","Yes",".67 therm","No","12 Month(s)","No","null","03/30/2022 10:57:56 AM","null","For commercial pricing please contact PriceRequests@MPowerEnergy.com or call 877-286-7693 ","NO","0","null","YES","YES",
"Consolidated Edison Company of New York, Inc.","CONED in NYC","S.J. Energy Partners, Inc.","354381","GAS","Fixed","Yes",".85 therm","No","12 Month(s)","No","null","04/07/2022 10:56:09 AM","null","null","NO","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","CONED in Westchester","Consolidated Edison Company of New York, Inc.","353721","GAS","Variable","Yes",".6822 therm","No","0 ","No","null","03/29/2022 04:27:23 PM","null","Variable gas price is based on the residential heating rate average for Westchester.","NO","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","CONED in Westchester","Mpower Energy, LLC","353744","GAS","Variable","Yes",".67 therm","No","12 Month(s)","No","null","03/30/2022 10:57:30 AM","null","For commercial pricing please contact PriceRequests@MPowerEnergy.com or call 877-286-7693 ","NO","0","null","YES","YES",
"Consolidated Edison Company of New York, Inc.","CONED in Westchester","Robison Energy, LLC","346304","GAS","Fixed","Yes",".6999 therm","No","36 Month(s)","No","null","11/02/2021 05:15:16 PM","null","Westchester County customers only. Robison offers fuel oil, Gas/Oil service Heating systems, A/C service and installation, plumbing service, Home Energy Ratings and Assessments. Free gas heating system tune up and service agreement.
914-345-5700
","NO","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","CONED in Westchester","Robison Energy, LLC","346306","GAS","Fixed","Yes",".7599 therm","No","24 Month(s)","No","null","11/02/2021 05:15:57 PM","null","Westchester County customers only. Robison offers fuel oil, Gas/Oil service Heating systems, A/C service and installation, plumbing service, Home Energy Ratings and Assessments. Free gas heating system tune up and service agreement.
914-345-5700
","NO","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","CONED in Westchester","Robison Energy, LLC","346310","GAS","Fixed","Yes",".7999 therm","No","12 Month(s)","No","null","11/02/2021 05:16:16 PM","null","Westchester County customers only. Robison offers fuel oil, Gas/Oil service Heating systems, A/C service and installation, plumbing service, Home Energy Ratings and Assessments. Free gas heating system tune up and service agreement.
914-345-5700
","NO","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","Central Hudson","Agway Energy Services, LLC.","354435","GAS","Variable","Yes","1.149 ccf","No","1 Month(s)","No","null","04/08/2022 01:59:49 PM","null","In order to help you make the most informed decision, this rate is reflective of our current variable rate &amp; includes our EnergyGuard repair program. This valuable coverage is included with our commodity supply &amp; provides Peace of Mind 24/7 repair protection on your primary heat source in your home.","NO","0","null","YES","YES",
"Central Hudson Gas & Electric Corporation","Central Hudson","Alpha Gas and Electric, LLC","354708","GAS","Fixed","Yes","1.05 ccf","No","24 Month(s)","No","null","04/13/2022 04:47:42 PM","null","Residential customers only. Green-e certified gas, 2 year Price protected fixed rate, includes Home Warranty coverage, Free month of energy supply after a year of service, NO cancellation fees. See terms and conditions for more info and visit https://alphagasandelectric.com/P2C/ to enroll. ","NO","0","null","YES","YES",
"Central Hudson Gas & Electric Corporation","Central Hudson","Atlantic Energy, LLC","354479","GAS","Variable","Yes",".799 ccf","No","12 Month(s)","Yes","$100","04/08/2022 03:37:38 PM","null","null","YES","0","null","YES","NO",
