UTILITY,LOAD_ZONE,ESCO,OFFER_ID,COMMODITY,OFFER_TYPE,IS_ACTIVE,RATE,RENEWABLE_ENERGY_OFFER,MINIMUM_TERM,IS_CANCELLATION_FEE,CANCELLATION_FEE,CREATED_DATE,UPDATED_DATE,COMMENTS,IS_GUARANTEED_SAVING,PERCENTAGE_RENEWABLE,ENERGY_SOURCE,IS_EDPCOMPLIANT,VALUE_ADDED,
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Kiwi Energy NY, LLC.","349826","ELECTRIC","Variable","Yes",".2099 kWh","No","36 Month(s)","No","null","01/15/2022 09:14:39 AM","null","Kiwi Guard - Home Protect is a month-to-month variable rate product for 36 months, with no cancellation fees, and no guaranteed savings. Includes HVAC coverage up to $750 per year (deductible due at time of service) + Surge Protection of up to $500 per year. See Terms &amp; Conditions for more details.","NO","0","null","YES","YES",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","NRG Home, NRG Business and NRG Retail Solutions","351182","ELECTRIC","Variable","Yes",".11 kWh","Yes","1 Month(s)","No","null","02/09/2022 12:37:02 PM","null","Our NY Renewable Electricity Plan provides 50% NY Green. Visit www.picknrg.com
","NO","0.5","Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","New York Gas & Electric","350433","ELECTRIC","Variable","Yes",".0999 kWh","No","0 Month(s)","No","null","02/01/2022 03:36:33 AM","null","Power Flex Home Protect lets you stay flexible with a monthly electricity rate and rest easy with an included service plan - which covers the repair and/or replacement of covered parts of your HVAC and your home&#39;s internal electrical lines.","NO","0","null","YES","YES",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","New York Gas & Electric","350434","ELECTRIC","Fixed","Yes",".0729 kWh","No","12 Month(s)","Yes","100","02/01/2022 03:37:02 AM","null","Get a price-protected rate for the next 12 months from a trusted energy supplier.","NO","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","New York Gas & Electric","350435","ELECTRIC","Fixed","Yes",".0739 kWh","No","24 Month(s)","Yes","200","02/01/2022 03:37:30 AM","null","Get a price-protected rate for the next 24 months from a trusted energy supplier.","NO","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","New York Gas & Electric","350436","ELECTRIC","Fixed","Yes",".0749 kWh","No","36 Month(s)","Yes","200","02/01/2022 03:37:58 AM","null","Get a price-protected rate for the next 36 months from a trusted energy supplier.","NO","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Nordic Energy Services, LLC","349892","ELECTRIC","Variable","Yes",".07699 kWh","Yes","1 Month(s)","No","null","01/18/2022 03:28:38 PM","null","Promotional price of 0.07699 will be the same for 3 months ","NO","1","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","351272","ELECTRIC","Fixed","Yes",".1181 kWh","Yes","12 Month(s)","No","null","02/09/2022 03:36:54 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","351273","ELECTRIC","Fixed","Yes",".1168 kWh","Yes","18 Month(s)","No","null","02/09/2022 03:37:06 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","351274","ELECTRIC","Fixed","Yes",".115 kWh","Yes","24 Month(s)","No","null","02/09/2022 03:37:16 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","351275","ELECTRIC","Fixed","Yes",".114 kWh","Yes","30 Month(s)","No","null","02/09/2022 03:37:27 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","351305","ELECTRIC","Fixed","Yes",".1116 kWh","Yes","12 Month(s)","No","null","02/09/2022 03:46:46 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","351306","ELECTRIC","Fixed","Yes",".1103 kWh","Yes","18 Month(s)","No","null","02/09/2022 03:46:57 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","351307","ELECTRIC","Fixed","Yes",".1085 kWh","Yes","24 Month(s)","No","null","02/09/2022 03:47:06 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","351308","ELECTRIC","Fixed","Yes",".1075 kWh","Yes","30 Month(s)","No","null","02/09/2022 03:47:16 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Public Power, LLC","350419","ELECTRIC","Fixed","Yes",".0729 kWh","No","12 Month(s)","Yes","100","02/01/2022 03:27:01 AM","null","With a fixed rate from Public Power, you&#39;ll get the peace of mind knowing your rate is fixed for 12 months.","NO","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Public Power, LLC","350420","ELECTRIC","Fixed","Yes",".0739 kWh","No","24 Month(s)","Yes","100","02/01/2022 03:27:31 AM","null","With a fixed rate from Public Power, you&#39;ll get the peace of mind knowing your rate is fixed for 24 months.","NO","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Public Power, LLC","350421","ELECTRIC","Fixed","Yes",".0749 kWh","No","36 Month(s)","Yes","150","02/01/2022 03:28:02 AM","null","With a fixed rate from Public Power, you&#39;ll get the peace of mind knowing your rate is fixed for 36 months.","NO","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pure Energy","350814","ELECTRIC","Variable","Yes",".28999 kWh","Yes","1 Month(s)","No","null","02/03/2022 01:58:22 PM","null","Pure Energy USA, LLC offers 100% Renewable Energy.","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Residents Energy, LLC","350851","ELECTRIC","Variable","Yes",".1185 kWh","Yes","1 Month(s)","No","null","02/03/2022 08:15:47 PM","null","Lock in this price for your first month of service. RES Premium Renewable Energy Product, is a 100% renewably sourced product. RES may satisfy its renewability commitments by purchasing and retiring Renewable Energy Credits or &quot;RECs&quot; to match your electricity usage. Go to www.residentsenergy.com.","NO","1","Hydroelectric","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Verde Energy USA New York LLC","349257","ELECTRIC","Fixed","Yes",".1119 kWh","Yes","36 Month(s)","No","null","01/12/2022 10:25:35 AM","null","New York Green 36
","NO","1","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Verde Energy USA New York LLC","349258","ELECTRIC","Fixed","Yes",".1129 kWh","Yes","24 Month(s)","No","null","01/12/2022 10:25:49 AM","null","New York Green 24
","NO","1","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Verde Energy USA New York LLC","349259","ELECTRIC","Fixed","Yes",".1139 kWh","Yes","12 Month(s)","No","null","01/12/2022 10:26:31 AM","null","New York Green 12","NO","1","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","XOOM Energy New York, LLC","350579","ELECTRIC","Variable","Yes",".1369 kWh","Yes","1 Month(s)","No","null","02/01/2022 03:53:42 PM","null","This product contains at least 50% renewable energy from sources eligible under New York law, specifically in-state wind and/or in-state hydropower (unless specified differently in your Welcome Confirmation and subject to market availability).","NO","0.5","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","XOOM Energy New York, LLC","350580","ELECTRIC","Fixed","Yes",".1099 kWh","Yes","24 Month(s)","No","null","02/01/2022 03:53:59 PM","null","This product contains at least 50% renewable energy from sources eligible under New York law, specifically in-state wind and/or in-state hydropower (unless specified differently in your Welcome Confirmation and subject to market availability).","NO","0.5","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","American Power & Gas, LLC","350774","ELECTRIC","Variable","Yes",".0959 kWh","Yes","48 Month(s)","No","null","02/03/2022 09:44:59 AM","null","Introductory rate with a variable rate thereafter plus 25% Guaranteed Rebate on average monthly supply charges after 12 months.","NO","0.5","Fuel Cells,Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","CleanChoice Energy","350762","ELECTRIC","Fixed","Yes",".115 kWh","Yes","24 Month(s)","No","null","02/02/2022 03:39:04 PM","null","Choose 100% clean, pollution-free wind &amp; solar with CleanChoice Energy today. Sign up online at mycleanchoice.com/ny24 or call 1-800-260-0184.","NO","1","Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","Just Energy","351063","ELECTRIC","Fixed","Yes",".0709 kWh","Yes","36 Month(s)","Yes","$50.00 Cancellation Fee if you called the utility- it will be waived if you called Just Energy","02/08/2022 04:23:02 AM","null","null","NO","1","Fuel Cells,Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","Just Energy","351064","ELECTRIC","Fixed","Yes",".0719 kWh","Yes","24 Month(s)","Yes","$50.00 Cancellation Fee if you called the utility- it will be waived if you called Just Energy","02/08/2022 04:23:43 AM","null","null","NO","1","Fuel Cells,Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","Marathon Energy","350907","ELECTRIC","Fixed","Yes",".0949 kWh","Yes","6 Month(s)","Yes","CALCULATED UPON CANCELLATION","02/07/2022 11:11:03 AM","null","$0.0949 Is FIXED RATE FOR FEBRUARY 2022. TERMINATION FEES APPLY. CALL 1-888-779-7255.","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","Marathon Energy","350908","ELECTRIC","Fixed","Yes",".0929 kWh","Yes","12 Month(s)","Yes","CALCULATED UPON CANCELLATION
","02/07/2022 11:11:40 AM","null","$0.0929 Is FIXED RATE FOR FEBRUARY 2022. TERMINATION FEES APPLY. CALL 1-888-779-7255.","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","Marathon Energy","350909","ELECTRIC","Fixed","Yes",".0879 kWh","Yes","24 Month(s)","Yes","CALCULATED UPON CANCELLATION","02/07/2022 11:12:16 AM","null","$0.0879 Is FIXED RATE FOR FEBRUARY 2022. TERMINATION FEES APPLY. CALL 1-888-779-7255.","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","Smart Energy Holdings, LLC","350843","ELECTRIC","Fixed","Yes",".091 kWh","Yes","36 Month(s)","No","null","02/03/2022 03:06:37 PM","null","null","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","Source Power Company","350383","ELECTRIC","Variable","Yes",".087 kWh","No","1 Month(s)","No","null","01/31/2022 12:09:01 PM","null","null","YES","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","American Power & Gas, LLC","350775","ELECTRIC","Variable","Yes",".0959 kWh","Yes","48 Month(s)","No","null","02/03/2022 09:45:13 AM","null","Introductory rate with a variable rate thereafter plus 25% Guaranteed Rebate on average monthly supply charges after 12 months.","NO","0.5","Fuel Cells,Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","CleanChoice Energy","350761","ELECTRIC","Fixed","Yes",".135 kWh","Yes","24 Month(s)","No","null","02/02/2022 03:38:22 PM","null","Choose 100% clean, pollution-free wind &amp; solar with CleanChoice Energy today. Sign up online at mycleanchoice.com/ny24 or call 1-800-260-0184.","NO","1","Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","Just Energy","351061","ELECTRIC","Fixed","Yes",".0869 kWh","Yes","36 Month(s)","Yes","$50.00 Cancellation Fee if you called the utility- it will be waived if you called Just Energy","02/08/2022 04:21:43 AM","null","null","NO","1","Fuel Cells,Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","Just Energy","351062","ELECTRIC","Fixed","Yes",".0879 kWh","Yes","24 Month(s)","Yes","$50.00 Cancellation Fee if you called the utility- it will be waived if you called Just Energy","02/08/2022 04:22:20 AM","null","null","NO","1","Fuel Cells,Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","Marathon Energy","350910","ELECTRIC","Fixed","Yes",".1119 kWh","Yes","6 Month(s)","Yes","CALCULATED UPON CANCELLATION","02/07/2022 11:13:12 AM","null","$0.1119 Is FIXED RATE FOR FEBRUARY 2022. TERMINATION FEES APPLY. CALL 1-888-779-7255.
","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","Marathon Energy","350911","ELECTRIC","Fixed","Yes",".1209 kWh","Yes","12 Month(s)","Yes","CALCULATED UPON CANCELLATION
","02/07/2022 11:13:50 AM","null","$0.1209 Is FIXED RATE FOR FEBRUARY 2022. TERMINATION FEES APPLY. CALL 1-888-779-7255.
","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","Marathon Energy","350912","ELECTRIC","Fixed","Yes",".1189 kWh","Yes","24 Month(s)","Yes","CALCULATED UPON CANCELLATION","02/07/2022 11:14:33 AM","null","$0.1189 Is FIXED RATE FOR FEBRUARY 2022. TERMINATION FEES APPLY. CALL 1-888-779-7255.
","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","Smart Energy Holdings, LLC","350842","ELECTRIC","Fixed","Yes",".129 kWh","Yes","36 Month(s)","No","null","02/03/2022 03:06:17 PM","null","null","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone G","Source Power Company","350389","ELECTRIC","Variable","Yes",".1199 kWh","No","1 Month(s)","No","null","01/31/2022 12:10:19 PM","null","null","YES","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","CONED in NYC","Consolidated Edison Company of New York, Inc.","350405","GAS","Variable","Yes",".6699 therm","No","0 ","No","null","01/31/2022 04:47:55 PM","null","Variable gas price is based on the residential heating rate average for New York City.","NO","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","CONED in NYC","Kiwi Energy NY, LLC.","349700","GAS","Variable","Yes","1.29 therm","No","36 Month(s)","No","null","01/15/2022 08:33:55 AM","null","Kiwi Guard is a month-to-month variable rate product for 36 months, with no cancellation fees, and no guaranteed savings. Includes HVAC coverage up to $750 per year (deductible due at time of service). See Terms &amp; Conditions for more details.","NO","0","null","YES","YES",
"Consolidated Edison Company of New York, Inc.","CONED in NYC","Mpower Energy, LLC","349023","GAS","Variable","Yes",".67 therm","No","12 Month(s)","No","null","01/06/2022 10:18:07 AM","null","For commercial pricing please contact PriceRequests@MPowerEnergy.com or call 877-286-7693 ","NO","0","null","YES","YES",
"Consolidated Edison Company of New York, Inc.","CONED in Westchester","Consolidated Edison Company of New York, Inc.","350406","GAS","Variable","Yes",".6631 therm","No","0 ","No","null","01/31/2022 04:49:01 PM","null","Variable gas price is based on the residential heating rate average for Westchester.","NO","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","CONED in Westchester","Mpower Energy, LLC","349019","GAS","Variable","Yes",".67 therm","No","12 Month(s)","No","null","01/06/2022 10:17:35 AM","null","For commercial pricing please contact PriceRequests@MPowerEnergy.com or call 877-286-7693 ","NO","0","null","YES","YES",
"Consolidated Edison Company of New York, Inc.","CONED in Westchester","Robison Energy, LLC","346304","GAS","Fixed","Yes",".6999 therm","No","36 Month(s)","No","null","11/02/2021 05:15:16 PM","null","Westchester County customers only. Robison offers fuel oil, Gas/Oil service Heating systems, A/C service and installation, plumbing service, Home Energy Ratings and Assessments. Free gas heating system tune up and service agreement.
914-345-5700
","NO","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","CONED in Westchester","Robison Energy, LLC","346306","GAS","Fixed","Yes",".7599 therm","No","24 Month(s)","No","null","11/02/2021 05:15:57 PM","null","Westchester County customers only. Robison offers fuel oil, Gas/Oil service Heating systems, A/C service and installation, plumbing service, Home Energy Ratings and Assessments. Free gas heating system tune up and service agreement.
914-345-5700
","NO","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","CONED in Westchester","Robison Energy, LLC","346310","GAS","Fixed","Yes",".7999 therm","No","12 Month(s)","No","null","11/02/2021 05:16:16 PM","null","Westchester County customers only. Robison offers fuel oil, Gas/Oil service Heating systems, A/C service and installation, plumbing service, Home Energy Ratings and Assessments. Free gas heating system tune up and service agreement.
914-345-5700
","NO","0","null","YES","NO"
